12/04/2004 ,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,55000
04/12/2004 ,1,2,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:30,1,3,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:35,1,4,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:38,1,5,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:30,12,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,55000
04/12/2004 11:38,12,2,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:40,12,3,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:45,12,4,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:48,12,5,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:55,12,6,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
04/12/2004 11:58,12,7,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,55055
