"04/21/2004 11:35:09",5,1,754,704,761,0,683,615,0,0,277,844,4638
"04/21/2004 11:35:09",5,2,738,804,776,0,832,749,0,127,181,804,5011
"04/21/2004 11:35:09",5,3,849,972,910,0,904,810,0,20,34,819,5318
"04/21/2004 11:35:09",5,4,733,634,656,0,902,642,0,12,3,827,4409
"04/21/2004 11:35:09",5,5,736,706,696,0,805,685,2,6,26,825,4487
"04/21/2004 10:28:34",12,2,1296,120,1274,1331,1288,1189,1305,1151,1329,1193,11476
"04/21/2004 10:28:34",12,3,1174,1193,1109,1112,1158,1012,1145,1022,1159,1039,11123
"04/21/2004 10:28:34",12,4,1229,1173,1157,1140,1135,1101,1210,1030,1217,1086,11478
"04/21/2004 10:28:34",12,5,898,858,843,858,825,768,860,774,815,760,8259
"04/21/2004 10:28:34",12,6,1329,1339,1261,1298,1351,1165,1290,1119,1197,1156,12505
"04/21/2004 10:28:34",12,7,772,808,740,712,784,648,748,624,19,594,6449
